Name,Picture,Age,Division,Height,Reach,LastOpponent,JabsLanded,OpponentJabsLanded,PowerPunchesLanded,OpponentPowerPunchesLanded,TotalPunchesLanded,OpponentTotalPunchesLanded,Result,TotalBouts,TotalRounds,CareerWin%,CareerKO%
Saul Alvarez,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Alvarez.png,30,super middle,173cm,179cm,Billy Joe Saunders,15,30,58,30,73,60,Win/RTD,59,425,95%,64%
Terence Crawford,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Crawford.png,33,welter,173cm,188cm,Kell Brook,16,14,20,12,36,26,Win/TKO,37,208,100%,76%
Tyson Fury,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Fury.png,32,heavy,206cm,216cm,Deontay Wilder,24,16,58,18,82,34,Win/TKO,
Errol Spence Jr.,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Spence.png,31,welter,177cm,183cm,Danny Garcia,84,14,103,103,187,117,Win/UD,
Anthony Joshua,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Joshua.png,31,heavy,198cm,208cm,Kubrat Pulev,68,20,48,21,116,41,Win/KO,
Jermall Charlo,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Charlo1.png,30,middle,183cm,187cm,Juan Macias Montiel,57,7,201,120,258,127,Win/UD,
Gennadiy Golovkin,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Golovkin.png,38,middle,179cm,178cm,Kamil Szeremeta,94,10,134,49,228,59,Win/RTD,
Oscar Valdez,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Valdez.png,30,super feather,166cm,168cm,Miguel Berchelt,46,35,103,64,149,99,Win/TKO,
Naoya Inoue, https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Inoue.png,28,bantam,165cm,171cm,Michael Dasmarinas,0,0,0,0,48,40,Win/KO,
Demetrius Andrade,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Andrade.png,33,middle,183cm,187cm,Liam Williams,38,17,155,93,193,110,Win/UD,
Gervonta Davis,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Davis.png,26,light,166cm,171cm,Leo Santa Cruz,4,21,80,76,84,97,Win/KO,
Deontay Wilder,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Wilder.png,35,heavy,201cm,211cm,Tyson Fury,16,24,18,58,34,82,Loss/TKO,
Shawn Porter,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Porter.png,33,welter,170cm,177cm,Sebastian Formella,0,0,0,0,304,148,Win/UD,
Oleksander Usyk,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Usyk.png,34,heavy,191cm,198cm,Dereck Chisora,87,29,107,110,194,139,Win/UD,
Callum Smith,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Smith.png,31,super middle,191cm,198cm,Saul Alvarez,44,88,55,126,99,214,Loss/UD,
Mikey Garcia,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/MGarcia.png,33,welter,168cm,173cm,Jessie Vargas,55,41,96,101,151,142,Win/UD,
Mairis Briedis,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Briedis.png,36,cruiser,186cm,190cm,Yuniel Dorticos,0,0,0,0,0,0,Win/MD,
Jermell Charlo,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Charlo2.png,31,super welter,180cm,185cm,Jeison Rosario,28,30,36,55,64,85,Win/KO,
Artur Beterbiev,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Beterbiev.png,36,light heavy,182cm,185cm,Adam Deines,34,1,125,76,159,77,Win/TKO,
Teofimo Lopez,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Lopez.png,23,light,173cm,174cm,Vasyl Lomachenko,35,63,148,78,183,141,Win/UD,
Josh Taylor,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Taylor.png,30,super light,178cm,177cm,Jose Carlos Ramirez,16,18,129,116,145,134,Win/UD,
Gary Allen Russell Jr.,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Russell.png,33,feather,164cm,163cm,Tugstsogt Nyambayar,30,21,104,101,134,122,Win/UD,
Regis Prograis,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Prograis.png,32,super light,173cm,170cm,Ivan Redkach,0,0,0,0,85,45,Win/TKO,
Juan Francisco Estrada,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Estrada.png,31,super fly,163cm,168cm,Roman Gonzalez,17,39,297,352,314,391,Win/SD,
Dillian Whyte,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Whyte.png,33,heavy,193cm,198cm,Alexander Povetkin,27,2,30,6,57,8,Win/TKO,
Jaime Munguia,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Munguia.png,24,middle,183cm,n/a,Kamil Szeremeta,0,0,0,0,178,72,Win/RTD,
Jose Zepeda,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Zepeda.png,32,super light,173cm,179cm,Henry Lundy,57,14,51,76,108,90,Win/UD,
Kell Brook,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Brook.png,35,welter,175cm,175cm,Terence Crawford,14,16,12,20,26,36,Loss/TKO,
Billy Joe Saunders,https://raw.githubusercontent.com/dannyho77/BoxStats/main/assets/Saunders.png,31,middle,180cm,180cm,Saul Alvarez,30,15,30,58,60,73,Loss/RTD,
